学习时长,出勤率,家长参与度,资源获取,课外活动,睡眠时间,过往成绩,学习动机水平,网络接入,辅导课程,家庭收入,教师质量,学校类型,同伴影响,体育活动,学习障碍,家长教育水平,家庭距离,性别,考试成绩
22,83,高,高,是,6,94,中,是,0,高,中,公立,中性,2,否,大学,中等,男,71
16,90,中,中,否,4,58,中,是,1,低,中,公立,中性,3,否,高中,中等,女,66
18,66,高,高,否,4,51,低,是,2,低,中,私立,中性,2,否,大学,近,男,64
16,83,低,中,否,6,57,中,是,0,高,低,公立,积极,4,是,高中,近,女,63
31,70,中,高,是,7,66,中,是,1,高,中,公立,消极,3,否,大学,近,男,69
20,69,中,中,是,8,96,中,是,2,中,高,公立,积极,3,否,高中,近,男,67
14,60,高,中,否,5,50,中,是,2,中,中,公立,中性,3,否,大学,,女,61
25,65,高,中,否,5,90,中,是,2,中,中,公立,积极,3,否,大学,中等,女,68
13,72,低,中,否,6,93,低,是,1,低,中,公立,消极,3,否,高中,近,男,61
21,65,中,低,是,7,91,低,是,2,中,高,公立,积极,3,否,高中,远,女,64
8,99,中,中,否,9,54,低,是,2,低,中,公立,中性,5,否,研究生,近,女,67
12,72,低,中,是,8,84,中,是,1,低,中,公立,积极,5,否,高中,近,女,63
21,65,低,中,是,6,98,低,是,1,中,高,公立,消极,4,否,高中,近,男,64
24,68,高,中,否,8,56,低,是,3,高,高,公立,中性,1,否,大学,近,男,67
21,84,中,中,是,6,52,低,是,1,中,高,公立,中性,2,是,大学,远,女,65
19,63,低,高,否,7,94,中,是,1,中,中,私立,积极,3,否,高中,中等,男,64
18,94,中,高,是,7,82,中,是,3,中,中,私立,消极,2,是,大学,近,男,70
11,98,中,中,是,9,82,低,是,1,中,中,私立,积极,3,否,研究生,远,男,68
16,70,中,中,是,8,98,中,是,2,中,中,公立,积极,3,否,高中,中等,男,65
17,78,中,中,是,6,88,中,是,1,中,高,私立,积极,3,否,大学,近,女,68
26,61,中,低,是,6,70,中,是,2,低,中,公立,积极,3,否,高中,中等,女,64
22,86,低,中,是,7,72,低,是,3,低,高,公立,积极,2,否,高中,中等,男,68
9,77,中,中,否,5,57,中,是,2,中,高,公立,中性,3,否,高中,近,男,63
22,71,低,中,是,7,65,低,是,1,中,低,公立,积极,4,否,大学,中等,男,64
18,68,高,中,否,7,72,中,是,0,中,中,公立,中性,3,否,大学,近,男,64
16,86,低,中,是,8,63,中,是,2,中,中,公立,积极,4,否,高中,近,男,67
24,77,高,低,否,8,96,中,是,0,中,中,公立,中性,3,否,高中,近,女,67
26,67,中,高,是,7,51,低,是,2,高,高,私立,中性,4,是,研究生,远,女,66
26,88,中,高,是,5,79,中,是,1,低,高,私立,积极,4,否,大学,中等,男,72
15,83,中,高,否,5,89,低,否,1,中,高,公立,中性,2,是,高中,近,女,65
18,94,中,中,是,6,87,高,是,1,中,中,公立,积极,4,否,高中,近,男,71
22,65,高,低,否,8,82,中,是,2,中,高,公立,积极,1,否,研究生,近,女,66
26,91,中,低,是,8,71,中,是,0,低,中,私立,中性,3,否,高中,中等,男,68
17,87,中,中,否,7,96,中,是,1,高,中,公立,消极,5,否,研究生,近,女,70
19,65,中,中,是,10,66,低,是,0,低,中,公立,积极,3,否,高中,中等,男,62
13,88,低,高,是,9,88,高,是,2,低,高,私立,消极,4,否,研究生,远,男,68
13,78,中,高,是,9,96,高,是,2,低,中,公立,中性,3,否,大学,中等,男,67
25,98,低,高,是,8,56,中,否,0,中,高,私立,中性,3,否,研究生,近,男,71
28,66,中,高,是,8,97,中,是,0,中,中,公立,中性,2,否,高中,近,男,68
20,86,中,中,是,8,89,中,是,1,低,中,公立,消极,3,否,研究生,近,男,69
26,75,低,高,是,4,81,高,是,3,中,高,私立,积极,2,否,高中,中等,男,70
22,98,中,高,否,5,69,低,否,1,低,高,公立,消极,4,否,高中,中等,女,69
16,73,中,中,否,7,95,中,是,1,低,中,公立,消极,4,否,大学,近,男,65
22,98,中,低,是,7,52,中,否,3,中,中,公立,积极,3,否,大学,近,女,70
29,96,中,低,是,7,72,中,是,1,低,中,公立,积极,3,否,高中,中等,男,71
20,71,中,中,是,7,88,中,是,1,低,低,公立,中性,4,否,大学,近,女,65
29,92,低,中,否,4,91,中,是,2,中,中,公立,消极,1,否,研究生,近,女,72
4,100,高,高,是,8,60,高,是,0,中,高,私立,积极,4,否,大学,中等,男,69
25,70,中,中,否,7,52,中,是,1,中,中,公立,积极,3,否,研究生,近,女,66
21,77,低,中,是,7,90,中,是,4,中,中,私立,中性,3,否,研究生,中等,男,68
18,81,高,低,是,8,71,中,是,0,中,中,公立,中性,3,否,高中,中等,女,65
21,72,中,中,是,5,57,中,是,1,高,中,公立,中性,5,是,大学,中等,男,64
8,61,中,中,是,7,54,中,是,1,高,中,公立,积极,3,否,大学,近,男,60
19,69,中,高,是,7,82,高,是,1,低,中,公立,消极,2,否,高中,近,男,65
22,71,高,中,否,6,79,高,是,1,低,低,公立,积极,3,否,高中,近,男,66
29,78,高,高,是,4,93,低,是,5,中,高,公立,中性,3,否,大学,近,男,74
17,67,中,中,是,5,52,高,是,2,中,中,私立,消极,3,否,高中,远,女,62
15,95,中,中,否,7,93,中,是,2,低,中,公立,积极,4,否,大学,中等,男,70
17,88,中,高,是,7,94,低,是,0,中,中,公立,中性,3,否,高中,近,男,69
25,63,中,高,是,7,72,中,是,3,中,高,私立,消极,4,否,大学,远,男,67
22,86,低,低,否,6,54,中,是,2,中,中,公立,中性,0,否,高中,中等,男,64
17,86,中,高,否,5,97,高,是,3,高,中,公立,中性,3,否,大学,近,男,71
23,98,中,低,是,7,54,低,是,0,中,中,公立,消极,3,否,大学,近,女,68
21,60,高,中,否,7,80,中,是,0,中,高,公立,中性,4,是,大学,近,男,64
26,70,中,低,是,8,75,中,是,1,中,低,私立,中性,4,是,高中,远,女,63
16,97,中,中,是,6,92,低,是,0,高,中,私立,积极,4,否,大学,近,男,71
18,97,高,中,是,4,75,低,是,0,低,中,公立,积极,3,否,高中,中等,男,69
18,89,高,中,是,4,73,中,是,3,高,中,私立,积极,2,否,大学,近,女,100
11,91,中,中,否,6,94,中,是,3,中,中,公立,中性,3,否,大学,中等,男,68
22,64,低,中,否,7,98,低,否,1,中,中,公立,消极,3,否,高中,近,男,62
22,81,中,中,是,7,77,低,是,2,中,中,公立,积极,3,否,研究生,远,女,68
20,69,高,高,是,6,73,中,是,2,低,中,私立,积极,3,否,高中,远,男,66
19,67,低,中,否,5,92,高,是,0,中,中,公立,积极,3,否,大学,近,男,64
12,92,中,中,否,4,92,高,是,2,中,高,公立,中性,3,是,高中,中等,男,67
17,65,中,高,是,8,66,中,是,1,高,高,公立,中性,4,是,研究生,中等,女,65
18,79,中,中,是,7,79,中,是,0,低,高,私立,中性,3,否,大学,远,男,65
15,98,高,中,否,6,58,高,是,0,低,高,公立,积极,3,否,大学,近,男,69
19,67,中,中,否,5,82,高,是,1,低,低,私立,消极,3,否,高中,近,男,63
22,99,中,低,是,6,92,低,是,3,中,中,公立,消极,4,否,研究生,中等,男,72
31,100,中,中,否,7,59,中,是,2,高,高,公立,积极,5,否,研究生,中等,男,76
21,82,中,高,是,7,66,高,是,3,低,中,公立,积极,3,是,大学,近,女,69
22,67,中,中,是,7,72,高,是,3,低,高,公立,积极,2,否,研究生,中等,女,67
20,73,高,中,是,9,92,中,是,2,中,高,公立,积极,3,否,大学,近,男,69
8,77,高,中,是,6,87,中,是,0,低,中,公立,中性,2,否,高中,中等,男,63
20,72,中,中,否,9,66,中,是,3,低,高,私立,积极,3,否,研究生,近,男,67
20,71,低,高,是,7,62,高,是,2,中,中,公立,消极,5,否,大学,近,男,66
35,99,高,高,是,7,85,低,是,2,中,高,私立,中性,2,否,研究生,近,女,79
19,66,中,中,否,8,74,中,是,1,高,中,公立,中性,3,否,高中,近,女,64
22,89,高,高,是,6,80,中,是,1,高,高,公立,积极,3,否,高中,近,女,73
20,60,低,高,否,7,82,高,是,2,低,高,公立,积极,4,是,高中,近,男,63
13,84,中,中,否,5,78,中,是,1,低,高,公立,积极,2,否,高中,近,男,65
27,97,低,高,是,8,81,中,是,0,高,中,公立,积极,5,否,高中,近,女,73
25,72,高,高,是,8,94,低,是,2,低,中,私立,积极,4,否,大学,中等,女,70
25,67,高,中,否,9,93,高,是,2,低,高,公立,积极,3,是,高中,近,女,68
15,86,中,中,是,7,57,中,是,1,中,中,公立,消极,3,否,大学,近,男,65
28,89,低,高,是,9,79,高,是,0,低,中,私立,积极,1,否,大学,中等,女,71
12,88,低,中,否,6,72,低,是,2,中,中,公立,积极,2,否,大学,远,男,64
24,73,中,高,是,8,64,中,是,4,高,中,私立,中性,3,是,大学,中等,男,68
33,70,中,中,是,6,82,低,是,1,低,高,公立,中性,4,否,大学,近,男,69
14,98,中,中,否,7,76,中,是,0,中,高,私立,积极,4,否,大学,中等,女,69
17,97,中,中,否,8,89,中,是,1,低,,公立,中性,4,否,高中,远,男,69
21,78,中,中,是,10,55,中,是,1,高,低,私立,积极,2,否,大学,近,男,67
17,94,低,中,是,8,65,低,是,4,中,中,公立,中性,6,否,高中,远,女,68
11,78,中,高,是,8,51,中,是,2,低,中,公立,中性,3,否,研究生,近,男,64
20,77,中,中,否,6,87,低,是,0,低,高,公立,积极,4,否,高中,近,女,66
14,66,高,低,否,7,96,中,是,3,低,高,公立,消极,3,否,高中,近,男,63
23,77,中,中,是,7,79,中,是,0,低,高,公立,中性,2,否,高中,中等,男,66
14,81,中,中,否,9,81,中,是,1,低,高,私立,消极,3,否,研究生,近,女,66
29,61,中,高,是,7,52,低,是,3,低,中,私立,积极,3,否,大学,近,女,67
15,78,高,高,否,9,75,低,是,1,低,中,公立,消极,1,否,高中,近,男,65
18,91,低,中,是,5,76,中,是,1,中,中,公立,中性,3,否,高中,近,女,68
25,87,中,低,否,9,52,高,是,1,低,高,私立,积极,2,否,高中,近,男,68
13,85,高,中,否,6,89,中,是,0,高,中,私立,中性,1,是,高中,近,男,65
21,96,中,中,否,8,64,高,是,2,中,高,公立,中性,0,否,大学,近,男,71
28,61,中,高,否,6,86,高,是,1,低,中,私立,消极,3,是,研究生,远,男,65
10,82,中,低,否,8,70,中,是,3,低,高,公立,积极,1,是,研究生,近,女,64
21,91,高,中,否,6,100,中,是,0,高,中,私立,中性,2,否,研究生,近,女,72
22,82,中,中,否,9,61,中,是,2,低,中,公立,消极,2,是,高中,近,女,65
25,73,中,高,否,8,53,高,否,0,低,高,私立,消极,5,否,研究生,近,女,66
13,65,低,高,否,6,99,中,是,0,低,中,私立,消极,4,否,高中,近,男,61
12,96,低,高,是,8,62,中,是,2,中,高,公立,消极,3,否,大学,近,女,68
23,79,高,高,是,8,82,低,是,3,中,中,公立,消极,3,是,研究生,中等,女,69
22,95,中,高,是,6,69,中,是,1,低,中,公立,积极,3,否,大学,近,女,72
22,83,中,高,是,5,82,中,是,2,低,高,公立,积极,3,否,研究生,近,女,71
22,87,高,高,否,5,80,低,是,2,低,高,公立,消极,3,否,高中,近,女,70
16,92,中,高,是,5,85,低,是,1,低,中,公立,中性,2,否,高中,中等,男,68
21,86,低,中,是,5,51,中,是,2,低,高,公立,积极,2,否,高中,中等,女,67
22,76,中,中,是,8,92,中,是,1,低,高,公立,中性,4,否,高中,近,女,68
16,81,中,中,是,8,74,中,是,3,中,中,公立,积极,2,否,研究生,近,女,68
31,92,中,中,是,4,76,中,是,2,中,高,公立,积极,4,是,高中,远,男,72
23,75,低,高,否,6,71,低,是,0,中,中,公立,中性,2,否,大学,近,男,65
13,76,中,高,否,5,99,低,是,2,中,中,私立,积极,4,否,高中,近,女,66
24,64,中,中,是,8,90,高,是,0,低,高,公立,消极,3,否,高中,近,男,65
14,97,中,中,是,6,66,中,是,2,中,中,公立,消极,3,是,大学,近,女,67
25,64,中,高,否,5,89,低,是,2,中,中,公立,中性,4,否,大学,远,男,66
27,86,中,中,否,7,72,低,是,1,中,高,公立,积极,4,否,高中,远,男,69
15,77,中,中,是,8,94,低,是,0,高,高,公立,积极,3,否,大学,中等,男,66
26,76,中,高,是,6,52,中,是,4,高,低,公立,中性,3,否,高中,近,男,69
22,87,高,低,是,7,68,中,否,0,低,中,公立,中性,2,否,高中,近,男,67
25,63,高,中,是,6,71,中,是,1,中,低,私立,积极,3,否,高中,近,男,66
31,84,中,中,是,9,87,中,是,2,低,中,私立,中性,3,否,大学,远,男,71
19,91,高,低,否,6,59,中,是,5,中,高,公立,中性,4,否,大学,中等,男,70
15,93,高,中,否,6,64,中,是,2,中,高,公立,积极,4,否,研究生,近,男,71
15,67,中,中,是,7,86,高,是,1,高,中,私立,积极,3,否,研究生,近,男,66
15,96,中,中,否,7,54,高,否,3,中,高,公立,消极,2,否,高中,近,男,67
20,86,高,低,否,8,60,中,是,1,中,中,公立,中性,4,是,大学,远,女,66
22,95,中,高,否,9,88,低,是,0,低,高,公立,积极,2,否,研究生,近,男,72
22,79,中,中,否,9,94,中,是,1,中,中,公立,积极,3,否,高中,近,男,68
25,82,中,中,否,6,86,中,否,3,低,高,公立,积极,3,否,高中,近,女,69
20,97,中,中,是,7,76,低,是,2,低,低,私立,积极,3,否,研究生,近,男,71
29,96,中,中,是,9,55,低,否,0,中,中,公立,中性,2,否,研究生,远,女,70
18,78,中,中,否,9,91,高,是,2,高,低,公立,中性,4,否,大学,远,女,67
36,71,中,中,是,6,56,中,是,2,高,中,公立,积极,2,否,高中,远,男,69
24,76,低,高,否,8,69,低,是,2,中,中,公立,中性,1,否,高中,中等,男,65
15,76,高,高,否,8,53,中,是,1,低,中,公立,中性,4,否,大学,近,男,65
14,71,中,中,是,8,85,低,是,2,中,高,公立,中性,4,否,高中,近,男,64
23,71,低,低,是,9,75,低,是,1,低,中,公立,消极,2,否,大学,近,男,63
19,94,低,中,是,5,95,中,是,3,低,低,公立,积极,2,否,高中,中等,男,69
24,63,中,低,是,6,57,中,是,1,低,高,私立,中性,5,否,大学,近,女,64
23,87,高,高,是,8,91,高,是,0,高,中,私立,积极,3,否,高中,中等,男,72
20,67,低,中,是,7,76,中,是,0,中,中,公立,中性,4,否,高中,近,男,63
15,74,低,高,是,4,68,低,是,3,低,中,公立,积极,3,否,高中,近,女,64
11,62,中,高,是,5,82,中,是,3,高,中,私立,中性,4,否,大学,中等,男,64
17,71,中,中,是,8,90,中,是,5,中,中,公立,积极,1,否,研究生,远,男,67
25,91,中,中,否,8,72,低,是,2,中,高,公立,积极,0,否,研究生,近,男,71
21,95,中,中,否,5,62,高,是,1,中,低,公立,积极,4,否,高中,近,男,70
13,69,中,低,是,9,96,低,是,0,高,中,私立,中性,4,否,高中,远,女,61
21,79,中,高,是,7,66,低,是,2,低,中,公立,消极,4,否,大学,中等,男,67
22,79,高,中,否,5,100,中,是,4,高,高,公立,消极,3,否,大学,近,男,72
15,95,低,低,是,6,88,低,是,1,低,中,公立,消极,5,否,高中,近,男,66
21,91,中,高,是,5,84,中,是,1,高,低,公立,中性,2,否,高中,近,男,70
20,81,高,中,是,6,51,高,否,3,中,中,公立,中性,4,是,高中,近,男,67
13,87,高,低,是,4,72,中,是,2,中,高,公立,中性,3,否,高中,中等,女,67
22,94,低,中,是,7,75,高,是,2,高,中,公立,中性,2,否,大学,近,女,71
23,60,高,中,是,8,69,中,是,1,低,中,私立,积极,4,否,大学,近,男,66
26,76,中,中,是,5,57,中,是,1,中,中,公立,积极,4,否,高中,近,男,68
26,96,中,中,是,7,68,中,是,3,高,中,私立,积极,3,否,大学,近,女,74
12,90,中,低,是,6,54,中,否,1,高,中,公立,中性,3,否,高中,近,男,64
14,82,中,中,否,8,65,中,是,1,低,中,私立,积极,3,否,大学,近,男,65
23,81,低,中,是,4,54,中,是,1,低,中,公立,中性,3,否,大学,近,男,66
23,74,中,高,是,8,88,低,是,0,中,高,公立,消极,3,是,高中,近,男,66
23,81,中,低,否,4,84,中,是,2,中,中,公立,积极,5,否,高中,近,男,68
43,86,高,中,是,7,97,中,是,2,中,高,公立,积极,1,否,高中,近,女,78
23,77,中,高,是,6,69,低,是,1,中,中,私立,积极,2,否,高中,中等,女,67
27,89,中,高,是,6,89,中,是,3,中,中,私立,积极,3,否,高中,近,男,74
26,94,中,高,否,5,79,高,是,1,低,高,公立,积极,2,否,研究生,近,男,74
24,66,中,低,否,9,82,低,是,1,中,中,公立,中性,2,是,高中,近,女,62
18,78,高,中,是,5,77,中,否,2,中,中,公立,中性,4,否,高中,远,男,66
25,76,中,中,是,5,89,高,是,3,中,高,公立,中性,3,否,高中,远,女,69
15,87,中,高,是,10,52,中,是,2,低,高,私立,积极,3,否,大学,近,男,68
19,70,中,低,否,7,54,高,是,0,中,中,公立,积极,2,是,高中,中等,男,89
17,86,高,低,否,5,55,低,否,2,高,中,私立,中性,4,否,大学,近,男,66
20,95,低,中,是,7,64,低,否,2,中,高,公立,中性,3,否,高中,近,女,68
34,77,中,低,是,7,80,低,是,0,中,中,公立,积极,3,否,高中,近,男,69
9,96,中,中,是,4,82,高,否,0,低,中,公立,积极,4,否,大学,近,男,67
24,100,高,高,是,6,86,低,是,2,中,中,私立,积极,5,否,高中,近,男,75
10,64,中,高,否,7,64,高,是,0,中,中,公立,积极,4,是,高中,中等,女,60
17,69,高,中,是,9,83,中,是,2,中,高,私立,积极,4,是,大学,中等,女,66
27,98,低,高,是,7,56,低,是,1,高,中,私立,积极,3,否,大学,近,女,73
20,98,中,低,否,7,50,低,是,1,中,高,私立,中性,2,否,高中,近,女,68
14,64,中,中,是,6,85,中,是,0,中,中,公立,中性,3,否,高中,近,男,62
16,61,中,中,否,9,86,低,是,2,低,高,公立,积极,2,否,高中,近,男,62
24,66,高,低,是,8,81,高,是,1,中,中,公立,中性,4,否,高中,远,男,65
16,100,高,低,是,8,63,高,是,2,低,中,公立,消极,3,否,高中,中等,男,69
21,67,中,中,否,7,96,低,是,3,低,中,公立,中性,2,否,高中,远,女,64
20,80,中,高,否,5,94,中,是,0,低,低,私立,积极,4,是,研究生,中等,女,67
16,94,高,高,是,9,76,中,是,0,低,高,公立,中性,2,否,高中,近,男,70
33,61,中,中,否,7,99,高,是,2,中,高,公立,中性,3,否,大学,近,女,70
24,84,高,低,否,7,65,低,是,3,中,高,公立,积极,3,否,高中,近,女,69
8,71,高,低,否,8,75,中,是,0,中,高,公立,积极,3,否,高中,近,男,61
21,94,中,中,否,7,96,低,是,0,中,中,私立,中性,2,是,研究生,中等,男,69
16,71,高,中,是,5,73,中,是,1,中,中,公立,中性,0,是,高中,近,男,63
25,87,中,低,是,7,74,低,是,0,中,高,公立,中性,4,是,高中,近,男,67
15,87,低,中,否,4,54,中,是,1,中,中,公立,中性,6,否,,中等,男,65
19,69,中,中,是,7,61,高,是,3,高,高,公立,中性,4,否,高中,中等,男,66
23,61,低,中,否,9,58,中,是,4,中,中,公立,中性,2,否,高中,近,男,63
25,76,中,高,是,4,78,中,是,2,中,中,私立,消极,3,否,高中,中等,女,68
13,72,高,高,否,7,66,中,是,0,低,高,公立,中性,4,否,研究生,近,男,65
18,92,低,中,是,8,54,中,是,1,中,中,公立,积极,3,否,高中,近,男,67
17,92,低,低,是,8,75,中,是,2,中,高,公立,中性,3,否,研究生,近,女,68
16,78,中,高,否,6,83,中,是,0,低,低,公立,中性,3,是,大学,近,男,64
31,84,中,中,否,5,87,高,是,0,中,中,私立,积极,3,否,大学,中等,男,71
22,84,中,中,是,6,92,低,是,0,中,中,公立,中性,5,否,高中,近,女,69
12,93,中,中,是,9,74,低,是,1,中,中,公立,中性,3,否,研究生,中等,男,67
26,77,低,中,否,4,70,低,是,2,高,低,公立,中性,3,是,大学,中等,女,65
33,71,低,中,否,5,84,中,是,1,中,中,公立,积极,2,否,高中,近,男,68
26,71,高,中,是,6,51,低,否,1,高,中,私立,积极,3,否,研究生,中等,男,67
11,81,中,中,是,6,82,高,是,3,中,高,公立,中性,4,否,高中,近,男,67
17,78,中,高,是,7,70,中,否,2,低,高,公立,积极,3,否,高中,近,男,66
28,78,高,中,否,9,73,高,是,2,中,中,公立,中性,4,否,大学,中等,女,70
16,64,高,低,是,5,65,中,是,3,中,高,私立,积极,4,否,研究生,中等,女,65
23,89,低,低,是,7,56,低,是,4,中,低,私立,积极,4,否,研究生,近,女,69
25,69,中,中,是,7,70,低,否,1,高,高,公立,积极,4,否,高中,远,女,65
14,68,高,中,否,6,65,中,是,1,高,中,公立,中性,3,是,大学,近,男,63
20,77,中,中,否,5,98,低,是,2,低,高,私立,中性,2,否,研究生,远,女,67
1,69,高,中,是,6,97,中,是,1,低,中,公立,积极,3,否,高中,近,女,61
14,83,中,低,是,6,82,中,是,0,中,中,公立,积极,2,否,高中,近,女,65
18,75,低,高,是,8,95,中,是,1,低,低,公立,中性,2,否,大学,近,女,66
13,78,中,高,是,8,88,高,是,0,高,低,公立,中性,3,否,大学,近,男,66
30,81,中,低,是,5,67,中,是,1,高,高,公立,消极,1,否,高中,近,男,69
11,68,中,中,否,6,80,中,是,2,中,中,公立,积极,3,否,大学,中等,女,63
17,66,低,高,否,6,61,中,是,1,高,中,公立,积极,6,否,研究生,近,男,65
21,95,低,低,否,10,84,低,是,0,高,中,公立,中性,4,是,高中,近,男,67
29,77,高,高,是,7,52,中,是,2,高,中,公立,消极,3,是,高中,近,女,69
11,76,低,中,是,5,92,中,是,4,中,低,公立,消极,2,否,研究生,近,男,65
27,61,中,中,否,6,79,中,是,1,低,中,公立,积极,3,否,高中,中等,男,65
20,80,高,低,是,6,53,中,是,0,低,中,公立,中性,2,否,大学,中等,男,65
14,82,中,高,是,8,94,低,是,2,低,高,公立,消极,5,否,大学,远,女,67
23,82,低,中,是,8,94,中,是,1,中,中,公立,消极,2,是,高中,,男,66
21,88,中,高,否,7,93,中,是,4,低,中,公立,积极,3,否,高中,近,女,72
16,67,中,高,否,7,89,高,是,3,低,中,公立,积极,3,否,大学,近,男,66
20,70,中,中,是,7,84,低,否,2,中,高,私立,中性,4,否,大学,远,男,65
18,92,高,中,是,7,70,中,是,1,低,中,公立,中性,3,否,高中,中等,男,69
21,98,中,低,否,4,57,中,是,2,高,低,公立,中性,2,否,高中,近,女,68
24,65,中,低,否,7,64,低,是,1,高,中,公立,中性,1,否,研究生,近,男,64
30,80,低,高,否,6,67,中,是,3,中,中,公立,消极,4,否,大学,中等,女,69
13,69,中,低,是,5,68,低,是,0,高,中,公立,积极,1,是,高中,中等,女,59
33,62,高,中,是,10,78,中,是,0,中,中,私立,积极,3,否,高中,中等,女,68
8,73,中,中,否,7,60,中,否,0,高,中,私立,中性,3,否,高中,近,女,60
19,66,中,高,否,7,59,中,是,1,高,中,公立,消极,3,否,高中,远,男,62
24,88,低,中,是,6,86,低,是,0,低,低,公立,消极,3,否,大学,近,男,67
22,81,低,高,是,8,50,高,是,4,中,中,私立,积极,5,否,高中,远,女,68
16,66,中,高,是,5,57,高,是,3,中,中,公立,积极,3,否,高中,中等,女,64
19,60,中,高,是,7,72,高,是,3,低,高,公立,积极,3,否,高中,中等,女,65
17,92,低,低,是,6,57,中,是,2,中,中,私立,积极,2,是,高中,中等,女,65
16,67,高,中,否,8,98,中,是,0,低,低,公立,中性,3,否,高中,近,女,63
25,84,中,低,是,6,84,低,是,2,中,高,公立,积极,3,否,高中,近,男,70
22,73,低,中,是,9,72,低,是,3,中,中,公立,积极,3,否,高中,近,女,66
16,83,中,高,是,7,56,低,是,4,高,中,公立,积极,3,否,高中,近,女,68
25,73,低,低,否,8,69,中,是,3,中,中,私立,积极,3,否,高中,近,女,66
22,63,低,低,否,8,83,中,是,3,中,中,私立,消极,1,否,大学,近,男,63
25,69,高,中,是,9,98,中,是,1,低,中,公立,消极,3,是,大学,中等,女,66
24,68,中,中,是,6,74,中,是,1,中,中,公立,中性,3,否,高中,近,女,65
15,77,中,中,是,8,85,高,是,1,低,中,公立,积极,2,否,研究生,中等,男,66
17,86,高,低,是,4,60,高,是,2,高,低,私立,积极,3,是,大学,中等,女,67
24,71,中,中,是,7,81,中,是,0,低,中,私立,积极,3,否,高中,近,男,66
24,60,低,中,否,6,62,高,是,4,低,高,公立,消极,3,否,高中,近,女,63
20,81,中,中,是,5,60,低,是,3,中,中,公立,积极,4,是,高中,近,男,66
21,84,中,中,否,6,75,低,否,1,高,中,公立,积极,3,否,大学,中等,男,67
28,99,中,中,是,6,61,中,否,1,低,中,公立,积极,3,否,高中,近,男,71
16,84,中,高,是,7,86,中,是,1,低,中,私立,中性,2,否,高中,近,女,67
23,79,中,高,是,6,97,中,是,1,高,低,公立,中性,4,否,高中,中等,男,69
19,83,中,中,是,7,70,中,是,2,低,中,公立,消极,4,是,研究生,近,女,67
19,97,高,中,是,6,66,高,是,2,中,中,私立,积极,2,否,大学,中等,女,72
27,93,高,低,否,6,59,高,是,2,低,中,私立,消极,4,否,高中,近,女,70
25,73,中,高,是,7,70,低,是,0,低,中,私立,中性,4,否,研究生,中等,男,67
25,69,低,高,是,7,78,中,是,0,低,高,公立,消极,3,否,高中,远,女,64
28,71,中,中,否,8,69,高,是,1,中,高,私立,中性,1,否,大学,中等,女,67
20,80,低,高,否,8,81,中,是,3,中,中,私立,消极,4,否,研究生,近,男,69
24,90,低,低,否,7,83,中,是,0,低,中,私立,积极,3,否,大学,,男,68
